Date,Description,Amount,Category
2026-06-01T08:12:00,DMart,-1240.50,Groceries
2026-06-02T07:45:00,Chaayos,-185.00,Dining
2026-06-03T18:30:00,Indian Oil Petrol Pump,-1520.00,Transport
2026-06-04T20:05:00,Netflix Subscription,-499.00,Entertainment
2026-06-05T21:40:00,Amazon India,-2340.00,Shopping
2026-06-06T00:01:00,Salary Credit - Infosys,45000.00,Income
2026-06-07T12:15:00,Apollo Pharmacy,-640.00,Healthcare
2026-06-09T08:55:00,Ola Cabs,-320.00,Transport
2026-06-10T17:20:00,BigBasket,-980.00,Groceries
2026-06-12T21:10:00,Spotify Premium,-119.00,Entertainment
2026-06-14T12:40:00,Zomato,-450.00,Dining
2026-06-15T09:00:00,Airtel Broadband,-799.00,Utilities
2026-06-16T14:25:00,IndiGo Airlines,-6250.00,Travel
2026-06-18T19:05:00,Flipkart,-1780.00,Shopping
2026-06-20T11:30:00,UPI Transfer to R. Sharma,-2000.00,Transfer
2026-06-21T08:20:00,DMart,-1105.00,Groceries
2026-06-22T07:50:00,Chaayos,-145.00,Dining
2026-06-24T18:00:00,Cult.fit Membership,-1499.00,Subscriptions
2026-06-26T20:35:00,Croma,-3499.00,Shopping
2026-06-28T17:45:00,Reliance Fresh,-890.00,Groceries
